@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
12, 10, 4, 5, 6, 5, 12, 13, 6, 13, 12, True, True, True, True, 1, 2, False, False, 0, Stop
12, 10, 4, 6, 6, 6, 12, 13, 5, 13, 12, True, True, True, True, 1, 2, False, False, -1, Stop
12, 10, 4, 6, 7, 6, 11, 12, 5, 14, 12, True, True, True, True, 2, 2, False, False, -1, Stop
12, 10, 4, 5, 7, 6, 12, 11, 5, 14, 12, True, True, True, True, 2, 2, False, False, -1, Stop
12, 10, 4, 4, 7, 6, 11, 11, 6, 13, 12, True, True, True, True, 1, 2, False, False, -1, Stop
13, 10, 4, 4, 8, 6, 10, 11, 7, 12, 12, True, True, True, True, -1, 2, False, False, -1, East
14, 10, 4, 4, 9, 6, 10, 11, 8, 13, 12, True, True, True, True, -1, 2, False, False, -1, East
15, 10, 4, 5, 9, 6, 10, 11, 7, 12, 12, True, True, True, True, -3, 2, False, False, -1, East
14, 10, 4, 5, 9, 6, 11, 12, 7, 11, 12, True, True, True, True, -3, 2, False, False, -1, West
13, 10, 4, 5, 8, 6, 12, 12, 6, 11, 11, True, True, True, True, -2, 1, False, False, -1, West
12, 10, 4, 5, 9, 6, 12, 13, 6, 12, 11, True, True, True, True, 0, 1, False, False, -1, West
12, 11, 4, 5, 9, 6, 13, 12, 6, 11, 11, True, True, True, True, -1, 0, False, False, -1, North
12, 12, 4, 6, 9, 6, 14, 13, 6, 11, 12, True, True, True, False, 1, -6, False, False, 199, North
12, 13, 4, 6, 8, 5, 14, 14, 6, 7, 1, True, True, True, False, -7, 1, False, False, -1, North
11, 13, 4, 6, 8, 5, 13, 14, 5, 7, 1, True, True, True, False, -6, 0, False, False, -1, West
10, 13, 4, 6, 8, 4, 13, 14, 5, 7, 1, True, True, True, False, -6, 0, False, False, -1, West
9, 13, 4, 6, 7, 3, 13, 14, 5, 7, 1, True, True, True, False, -6, 0, False, False, -1, West
8, 13, 4, 6, 8, 2, 13, 14, 6, 7, 1, True, True, True, False, -6, 0, False, False, -1, West
7, 13, 4, 6, 8, 3, 13, 13, 6, 7, 1, True, True, True, False, -4, 0, False, False, -1, West
6, 13, 4, 6, 7, 3, 12, 12, 6, 7, 1, True, True, True, False, -3, -1, False, False, -1, West
5, 13, 4, 6, 7, 2, 12, 13, 6, 7, 1, True, True, True, False, -3, -1, False, False, -1, West
4, 13, 4, 7, 7, 1, 12, 13, 6, 7, 1, True, True, True, False, -3, -1, False, False, -1, West
3, 13, 4, 6, 7, 1, 13, 14, 6, 7, 1, True, True, True, False, -2, 0, False, False, -1, West
2, 13, 4, 7, 7, 1, 13, 14, 5, 7, 1, True, True, True, False, -1, 0, False, False, -1, West
1, 13, 4, 7, 7, 3, 1, 13, 5, 7, 1, True, False, True, False, 6, -6, False, True, 199, West
1, 12, 4, 7, 8, 3, 1, 14, 5, 7, 1, True, False, True, False, 6, -4, False, True, -1, South
1, 11, 4, 6, 8, 3, 1, 15, 5, 7, 1, True, False, True, False, 5, -3, False, True, -1, South
1, 11, 4, 6, 9, 3, 1, 16, 5, 7, 1, True, False, True, False, 5, -2, False, True, -1, South
1, 11, 4, 6, 10, 3, 1, 15, 5, 7, 1, True, False, True, False, 5, -1, False, False, -1, South
1, 11, 4, 6, 9, 3, 1, 16, 5, 7, 1, True, False, True, False, 5, -2, False, True, -1, South
1, 11, 4, 6, 9, 3, 1, 16, 5, 7, 1, True, False, True, False, 5, -2, False, True, -1, South
2, 11, 4, 6, 10, 3, 1, 16, 6, 7, 1, True, False, True, False, 4, -1, False, False, -1, East
3, 11, 4, 7, 10, 3, 1, 17, 6, 7, 1, True, False, True, False, 4, -1, False, False, -1, East
4, 11, 4, 7, 10, 3, 1, 17, 7, 7, 1, True, False, True, False, 3, -1, False, False, -1, East
5, 11, 4, 7, 9, 3, 1, 16, 7, 7, 1, True, False, True, False, 2, -2, False, True, -1, East
6, 11, 4, 8, 9, 3, 1, 16, 6, 7, 1, True, False, True, False, 2, -2, False, False, -1, East
7, 11, 4, 8, 10, 3, 1, 17, 6, 7, 1, True, False, True, False, 1, -1, False, False, -1, East
8, 11, 4, 8, 10, 3, 1, 17, 7, 7, 1, True, False, True, False, 0, -1, False, False, -1, East
8, 10, 4, 1, 1, 3, 1, 17, 6, 7, 1, False, False, True, False, 9, -4, False, False, 199, South
8, 9, 4, 1, 1, 3, 1, 17, 6, 7, 1, False, False, True, False, 9, -3, False, False, -1, South
8, 8, 4, 1, 1, 3, 1, 17, 7, 7, 1, False, False, True, False, 9, -1, False, False, -1, South
8, 7, 4, 1, 1, 3, 1, 17, 8, 7, 1, False, False, True, False, 9, 1, False, False, -1, South
8, 6, 4, 1, 1, 3, 1, 17, 7, 7, 1, False, False, True, False, 9, 1, False, False, -1, South
8, 5, 4, 1, 1, 3, 1, 17, 8, 7, 1, False, False, True, False, 9, 3, False, False, -1, South
9, 5, 4, 1, 1, 3, 1, 17, 7, 7, 1, False, False, True, False, 8, 2, False, False, -1, East
10, 5, 4, 1, 1, 3, 1, 17, 6, 7, 1, False, False, True, False, 7, 1, False, False, -1, East
11, 5, 4, 1, 1, 3, 1, 17, 6, 7, 1, False, False, True, False, 6, 1, False, False, -1, East
12, 5, 4, 1, 1, 3, 1, 18, 6, 7, 1, False, False, True, False, 6, 1, False, False, -1, East
13, 5, 4, 1, 1, 3, 1, 18, 7, 7, 1, False, False, True, False, 5, 2, False, False, -1, East
