@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute muro_x {True,False}
@attribute muro_y {True,False}
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
13, 10, 4, 4, 6, 6, 12, 12, 6, 13, 12, True, True, True, True, 0, 2, False, False, -1, East
13, 11, 4, 4, 7, 6, 11, 12, 5, 13, 12, True, True, True, True, 0, 1, False, False, -1, North
13, 12, 4, 5, 7, 7, 11, 13, 5, 14, 12, True, True, True, False, -6, -1, False, False, 199, North
12, 12, 4, 5, 6, 7, 12, 13, 6, 7, 1, True, True, True, False, -5, 0, False, False, -1, West
11, 12, 4, 5, 6, 7, 12, 14, 6, 7, 1, True, True, True, False, -4, 0, False, False, -1, West
10, 12, 4, 5, 7, 8, 12, 13, 6, 7, 1, True, True, True, False, -2, 0, False, False, -1, West
9, 12, 4, 5, 6, 3, 1, 12, 6, 7, 1, True, False, True, False, 3, -6, False, False, 199, West
10, 12, 4, 5, 7, 3, 1, 12, 5, 7, 1, True, False, True, False, 2, -7, False, False, -1, East
11, 12, 4, 5, 8, 3, 1, 13, 5, 7, 1, True, False, True, False, 2, -7, False, False, -1, East
12, 12, 4, 4, 8, 3, 1, 14, 5, 7, 1, True, False, True, False, 2, -7, False, False, -1, East
13, 12, 4, 4, 8, 3, 1, 14, 6, 7, 1, True, False, True, False, 1, -6, False, False, -1, East
14, 12, 4, 4, 7, 3, 1, 13, 6, 7, 1, True, False, True, False, -1, -6, False, False, -1, East
13, 12, 4, 4, 7, 3, 1, 13, 6, 7, 1, True, False, True, False, 0, -6, False, False, -1, West
13, 11, 4, 4, 8, 3, 1, 12, 6, 7, 1, True, False, True, False, -1, -5, False, False, -1, South
12, 11, 4, 4, 8, 3, 1, 12, 7, 7, 1, True, False, True, False, 0, -4, False, False, -1, West
12, 10, 4, 4, 8, 3, 1, 12, 6, 7, 1, True, False, True, False, 0, -4, False, False, -1, South
12, 9, 4, 5, 8, 3, 1, 12, 7, 7, 1, True, False, True, False, 0, -2, False, False, -1, South
12, 8, 4, 6, 8, 3, 1, 12, 6, 7, 1, True, False, True, False, 0, -2, False, False, -1, South
12, 7, 4, 5, 8, 3, 1, 12, 6, 7, 1, True, False, True, False, 0, -1, False, False, -1, South
12, 6, 4, 5, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -7, 1, False, False, 199, South
11, 6, 4, 5, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -6, 1, False, False, -1, West
10, 6, 4, 5, 8, 3, 1, 5, 1, 7, 1, True, False, False, False, -5, 2, False, False, -1, West
9, 6, 4, 5, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -4, 1, False, False, -1, West
8, 6, 4, 4, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -4, 1, False, False, -1, West
7, 6, 4, 3, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -4, 1, False, False, -1, West
6, 6, 4, 4, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -2, 1, False, False, -1, West
5, 6, 4, 4, 7, 3, 1, 5, 1, 7, 1, True, False, False, False, -1, 1, False, False, -1, West
12, 9, 4, 4, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, False, False, 0, Stop
13, 9, 4, 4, 11, 5, 6, 13, 11, 17, 4, True, True, True, True, 0, 2, False, False, -1, East
13, 10, 4, 5, 11, 4, 6, 5, 1, 16, 4, True, True, False, True, -8, 1, True, False, 199, North
12, 10, 4, 5, 12, 5, 6, 5, 1, 17, 4, True, True, False, True, -7, 2, True, False, -1, West
11, 10, 4, 6, 12, 4, 6, 5, 1, 17, 3, True, True, False, True, -5, 2, True, False, -1, West
10, 10, 4, 6, 11, 4, 7, 5, 1, 17, 4, True, True, False, True, -4, 1, True, False, -1, West
9, 10, 4, 6, 12, 4, 6, 5, 1, 17, 3, True, True, False, True, -3, 2, True, False, -1, West
9, 11, 4, 6, 11, 4, 5, 5, 1, 16, 3, True, True, False, True, -3, 0, True, False, -1, North
10, 11, 4, 6, 10, 4, 5, 5, 1, 17, 3, True, True, False, True, -4, -1, True, False, -1, East
9, 11, 4, 7, 10, 4, 4, 5, 1, 16, 3, True, True, False, True, -2, -1, True, False, -1, West
9, 10, 4, 7, 9, 4, 3, 5, 1, 16, 4, True, True, False, True, -2, -1, True, False, -1, South
9, 9, 4, 7, 8, 4, 4, 5, 1, 16, 3, True, True, False, True, -2, -1, False, False, -1, South
8, 9, 4, 7, 7, 4, 3, 5, 1, 16, 3, True, True, False, True, -1, -2, False, False, -1, West
7, 9, 4, 7, 6, 3, 3, 5, 1, 16, 3, True, True, False, True, 0, -3, False, False, -1, West
7, 8, 4, 7, 7, 3, 3, 5, 1, 16, 4, True, True, False, True, 0, -1, False, False, -1, South
7, 7, 4, 1, 1, 2, 3, 5, 1, 16, 4, False, True, False, True, -5, -4, False, True, 199, South
6, 7, 4, 1, 1, 1, 3, 5, 1, 16, 4, False, True, False, True, -5, -4, False, True, -1, West
5, 7, 4, 1, 1, 2, 3, 5, 1, 16, 3, False, True, False, True, -3, -4, False, True, -1, West
4, 7, 4, 1, 1, 2, 4, 5, 1, 15, 3, False, True, False, True, -2, -3, False, False, -1, West
3, 7, 4, 1, 1, 3, 4, 5, 1, 14, 3, False, True, False, True, 0, -3, False, False, 99, West
3, 6, 4, 1, 1, 3, 3, 5, 1, 13, 3, False, True, False, True, 0, -3, False, False, -1, South
3, 5, 4, 1, 1, 3, 3, 5, 1, 13, 3, False, True, False, True, 0, -2, False, False, -1, South
3, 4, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, False, True, 10, -1, True, False, 199, South
4, 4, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, False, True, 9, -1, True, False, -1, East
4, 3, 4, 1, 1, 3, 1, 5, 1, 13, 4, False, False, False, True, 9, 1, True, False, -1, South
5, 3, 4, 1, 1, 3, 1, 5, 1, 13, 4, False, False, False, True, 8, 1, True, False, -1, East
6, 3, 4, 1, 1, 3, 1, 5, 1, 13, 4, False, False, False, True, 7, 1, True, False, -1, East
7, 3, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 7, 1, True, False, -1, East
8, 3, 4, 1, 1, 3, 1, 5, 1, 13, 4, False, False, False, True, 5, 1, True, False, -1, East
9, 3, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 5, 1, True, False, -1, East
10, 3, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 4, 1, True, False, -1, East
11, 3, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, 4, 1, True, False, -1, East
11, 4, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, 4, 0, True, False, -1, North
11, 3, 4, 1, 1, 3, 1, 5, 1, 16, 4, False, False, False, True, 5, 1, True, False, -1, South
11, 4, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, 4, 0, True, False, -1, North
11, 5, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, 4, -1, False, False, -1, North
12, 5, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 2, -1, False, False, -1, East
13, 5, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 1, -1, False, False, -1, East
4, 3, 4, 1, 2, 3, 1, 4, 1, 14, 2, True, True, True, True, -1, -2, False, True, 0, Stop
3, 3, 4, 1, 1, 2, 1, 4, 1, 14, 2, True, True, True, True, -2, -2, False, True, -1, West
2, 3, 4, 2, 1, 3, 1, 5, 1, 14, 1, True, True, True, True, 0, -2, False, True, -1, West
3, 3, 4, 2, 1, 2, 1, 4, 1, 14, 1, True, True, True, True, -1, -2, False, True, -1, East
2, 3, 4, 3, 1, 3, 1, 4, 1, 14, 2, True, True, True, True, 1, -2, False, True, -1, West
3, 3, 4, 4, 1, 2, 1, 5, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, East
4, 3, 4, 5, 1, 2, 1, 6, 1, 14, 2, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 5, 1, 3, 1, 6, 1, 14, 2, True, True, True, True, 0, -2, False, True, -1, East
4, 3, 4, 6, 1, 3, 1, 7, 1, 14, 3, True, True, True, True, 2, -2, False, True, -1, West
5, 3, 4, 7, 1, 3, 1, 8, 1, 13, 3, True, True, True, True, 2, -2, False, True, -1, East
6, 3, 4, 6, 1, 2, 1, 9, 1, 12, 3, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 5, 1, 3, 1, 8, 1, 13, 3, True, True, True, True, 0, -2, False, True, -1, West
6, 3, 4, 6, 1, 2, 1, 8, 1, 14, 3, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 7, 1, 3, 1, 7, 1, 14, 3, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 6, 1, 3, 1, 8, 1, 14, 2, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 6, 1, 2, 1, 9, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, West
6, 3, 4, 7, 1, 2, 1, 9, 2, 13, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 7, 1, 3, 1, 9, 3, 12, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 6, 1, 2, 1, 8, 3, 13, 1, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 7, 1, 1, 1, 8, 3, 14, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 7, 1, 1, 2, 9, 3, 13, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 8, 1, 1, 1, 8, 3, 12, 1, True, True, True, True, 3, -2, True, True, -1, West
6, 3, 4, 7, 1, 1, 2, 8, 3, 12, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 8, 1, 1, 2, 9, 3, 13, 1, True, True, True, True, 3, -2, True, True, -1, West
6, 3, 4, 7, 1, 1, 3, 9, 3, 12, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 7, 1, 1, 3, 9, 2, 13, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 8, 1, 2, 3, 9, 2, 13, 1, True, True, True, True, 2, -2, True, True, -1, East
5, 3, 4, 7, 1, 2, 3, 9, 2, 14, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 8, 1, 2, 3, 9, 3, 13, 1, True, True, True, True, 2, -2, True, True, -1, East
5, 3, 4, 7, 1, 2, 3, 9, 2, 12, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 8, 1, 2, 3, 9, 1, 13, 1, True, True, True, True, 2, -2, True, True, -1, East
5, 3, 4, 8, 1, 1, 3, 8, 1, 14, 1, True, True, True, True, 3, -2, True, True, -1, West
6, 3, 4, 7, 1, 2, 3, 8, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 6, 1, 1, 3, 8, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, West
6, 3, 4, 5, 1, 2, 3, 9, 1, 14, 2, True, True, True, True, -1, -2, False, True, -1, East
5, 3, 4, 6, 1, 1, 3, 10, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, West
6, 3, 4, 5, 1, 2, 3, 10, 1, 14, 2, True, True, True, True, -1, -2, False, True, -1, East
5, 3, 4, 5, 1, 2, 3, 10, 1, 14, 3, True, True, True, True, 0, -2, False, True, -1, West
4, 3, 4, 6, 1, 2, 3, 10, 1, 14, 2, True, True, True, True, 2, -2, False, True, -1, West
5, 3, 4, 7, 1, 1, 3, 10, 1, 14, 3, True, True, True, True, 2, -2, False, True, -1, East
6, 3, 4, 6, 1, 1, 3, 9, 1, 14, 3, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 5, 1, 1, 2, 9, 1, 14, 3, True, True, True, True, 0, -2, False, True, -1, West
6, 3, 4, 6, 1, 1, 2, 8, 1, 14, 2, True, True, True, True, 0, -2, False, True, -1, East
5, 3, 4, 7, 1, 1, 1, 8, 1, 14, 1, True, True, True, True, 2, -2, False, True, -1, West
6, 3, 4, 7, 1, 2, 1, 8, 1, 14, 2, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 8, 1, 1, 1, 8, 1, 14, 2, True, True, True, True, 3, -2, True, True, -1, West
6, 3, 4, 7, 1, 1, 1, 7, 1, 14, 1, True, True, True, True, 1, -2, False, True, -1, East
5, 3, 4, 6, 1, 1, 2, 6, 1, 14, 2, True, True, True, True, 1, -2, False, True, -1, West
6, 3, 4, 5, 1, 1, 1, 5, 1, 14, 3, True, True, True, True, -1, -2, False, True, -1, East
5, 3, 4, 4, 1, 2, 1, 5, 1, 14, 3, True, True, True, True, -1, -2, False, True, -1, West
4, 3, 4, 4, 1, 3, 1, 6, 1, 13, 3, True, True, True, True, 0, -2, False, True, -1, West
5, 3, 4, 5, 1, 3, 1, 6, 1, 13, 3, True, True, True, True, 0, -2, False, True, -1, East
4, 3, 4, 4, 1, 2, 1, 7, 1, 13, 3, True, True, True, True, 0, -2, False, True, -1, West
3, 3, 4, 3, 1, 1, 1, 7, 1, 14, 3, True, True, True, True, 0, -2, False, True, -1, West
2, 3, 4, 3, 1, 1, 2, 6, 1, 14, 3, True, True, True, True, 1, -2, False, True, -1, West
3, 3, 4, 2, 1, 1, 2, 7, 1, 14, 2, True, True, True, True, -1, -2, False, True, -1, East
2, 3, 4, 3, 1, 1, 1, 7, 1, 14, 2, True, True, True, True, 1, -2, False, True, -1, West
3, 3, 4, 2, 1, 2, 1, 6, 1, 14, 1, True, True, True, True, -1, -2, False, True, -1, East
2, 3, 4, 1, 1, 1, 1, 6, 1, 14, 1, True, True, True, True, -1, -2, False, True, -1, West
1, 3, 4, 1, 1, 1, 2, 7, 1, 14, 2, True, True, True, True, 0, -2, False, False, -1, West
1, 2, 4, 1, 1, 3, 1, 6, 1, 14, 2, False, False, True, True, 0, -1, False, False, 399, South
1, 1, 4, 2, 1, 4, 1, 6, 1, 14, 2, False, False, True, True, 1, 0, False, False, 299, South
2, 1, 4, 1, 1, 4, 1, 5, 1, 14, 1, False, False, True, True, -1, 0, False, False, 299, East
1, 1, 4, 1, 1, 3, 1, 4, 1, 14, 2, False, False, True, True, 0, 0, False, False, 399, West
2, 1, 4, 1, 1, 4, 1, 4, 1, 14, 3, False, False, True, True, -1, 0, False, False, 199, East
1, 1, 4, 1, 1, 3, 1, 5, 1, 13, 3, False, False, True, True, 0, 0, False, False, 399, West
1, 2, 4, 1, 1, 3, 1, 6, 1, 14, 3, False, False, True, True, 0, -1, False, False, -1, North
1, 1, 4, 2, 1, 3, 1, 6, 1, 14, 2, False, False, True, True, 1, 0, False, False, 199, South
2, 1, 4, 1, 1, 4, 1, 5, 1, 14, 3, False, False, True, True, -1, 0, False, False, 399, East
1, 1, 4, 1, 2, 5, 1, 6, 1, 14, 2, False, False, True, True, 4, 0, False, False, 199, West
2, 1, 4, 1, 2, 5, 1, 5, 1, 14, 3, False, False, True, True, 3, 0, False, False, -1, East
3, 1, 4, 1, 3, 6, 1, 4, 1, 14, 2, False, False, True, True, 3, 0, False, False, -1, East
4, 1, 4, 1, 2, 7, 1, 5, 1, 14, 3, False, False, False, True, 10, 2, True, True, 199, East
5, 1, 4, 1, 1, 8, 1, 5, 1, 14, 2, False, False, False, True, -4, 0, False, False, 399, East
4, 1, 4, 1, 2, 7, 1, 5, 1, 14, 1, False, False, False, True, 3, 0, False, False, -1, West
5, 1, 4, 1, 1, 6, 1, 4, 1, 14, 1, False, False, False, True, -4, 0, False, False, 199, East
4, 1, 4, 1, 1, 5, 1, 5, 1, 13, 1, False, False, False, True, -3, 0, False, False, 399, West
3, 1, 4, 1, 2, 5, 1, 4, 1, 14, 1, False, False, False, True, 11, 0, True, False, -1, West
4, 1, 4, 1, 2, 3, 1, 5, 1, 14, 2, False, False, False, True, 10, 1, True, False, 599, East
5, 1, 4, 1, 1, 2, 1, 4, 1, 14, 2, False, False, False, True, -4, 0, False, False, 199, East
4, 1, 4, 1, 1, 3, 1, 5, 1, 14, 1, False, False, False, True, -3, 0, False, False, 199, West
3, 1, 4, 1, 1, 3, 1, 5, 1, 14, 1, False, False, False, True, 11, 0, True, False, 399, West
4, 1, 4, 1, 2, 3, 1, 6, 1, 14, 2, False, False, False, True, 10, 1, True, False, -1, East
5, 1, 4, 1, 2, 4, 1, 7, 1, 14, 2, False, False, False, True, 9, 1, True, False, -1, East
6, 1, 4, 1, 2, 4, 1, 5, 1, 14, 3, False, False, False, True, 8, 2, True, True, 199, East
7, 1, 4, 1, 2, 3, 1, 5, 1, 13, 3, False, False, False, True, 6, 2, True, True, -1, East
8, 1, 4, 1, 2, 2, 1, 5, 1, 14, 3, False, False, False, True, -7, 1, False, False, -1, East
7, 1, 4, 1, 2, 1, 1, 4, 1, 14, 3, False, False, False, True, 7, 2, True, True, -1, West
8, 1, 4, 1, 1, 2, 1, 3, 1, 14, 3, False, False, False, True, 6, 2, True, True, -1, East
9, 1, 4, 1, 2, 2, 1, 4, 1, 13, 3, False, False, False, True, 4, 2, True, False, -1, East
10, 1, 4, 1, 3, 2, 1, 3, 1, 12, 3, False, False, False, True, 2, 2, True, True, -1, East
9, 1, 4, 1, 2, 2, 1, 3, 1, 12, 3, False, False, False, True, 3, 2, True, False, -1, West
10, 1, 4, 1, 1, 3, 1, 3, 1, 12, 3, False, False, False, True, 2, 2, True, True, -1, East
9, 1, 4, 2, 1, 4, 1, 4, 1, 12, 3, False, False, False, True, 3, 2, True, False, -1, West
10, 1, 4, 1, 1, 3, 1, 3, 1, 12, 3, False, False, False, True, 2, 2, True, True, -1, East
