@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 67\nSize of the tree: 133\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 66\nSize of the tree: 131\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 70\nSize of the tree: 139\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 50\nSize of the tree: 99\n','Number of rules: 52\n','Number of rules: 44\n','Number of rules: 49\n','Number of rules: 48\n','Number of rules: 45\n','Number of rules: 51\n','Number of rules: 42\n','Number of rules: 46\n','Number of rules: 47\n','Number of rules: 50\n','Number of rules: 53\n','Number of rules: 39\n','Number of rules: 43\n','Number of rules: 54\n','Number of rules: 30\n','Number of rules: 28\n','Number of rules: 29\n','Number of rules: 25\n','Number of rules: 26\n','Number of rules: 32\n','Number of rules: 31\n','Number of rules: 33\n','Number of rules: 35\n','Number of rules: 27\n','Number of rules: 37\n','Number of rules: 36\n','Number of rules: 34\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,20,17,0,54.054054,45.945946,0,0.39751,0.192862,0.384052,62.557044,97.937051,80.760991,6481.782918,-6401.021927,2.182729,175.183322,-173.000593,36.681561,0.991394,1664.089056,0.6,6,0.074074,2,0.925926,25,0.4,4,0.75,0.6,0.666667,0.888889,0.540541,0.145138,0.854862,0.459459,0.570686,0.540541,0.546416,0.771963,0.004,0,0.01,0,31862,61705,9805,'Number of leaves: 57\nSize of the tree: 113\n',113,57,57
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,27,11,0,71.052632,28.947368,0,0.628114,0.136797,0.303564,44.271083,77.215353,84.126176,5390.34421,-5306.218033,2.213847,141.851163,-139.637317,51.569505,1.357092,2343.065513,0.636364,7,0,0,1,27,0.363636,4,1,0.636364,0.777778,0.867003,0.710526,0.066479,0.933521,0.289474,0.747542,0.710526,0.710871,0.877498,0.004,0,0,0,32343,61532,9978,'Number of leaves: 58\nSize of the tree: 115\n',115,58,58
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,25,13,0,65.789474,34.210526,0,0.562057,0.135958,0.325141,43.903243,82.499832,84.597932,4325.064828,-4240.466896,2.226261,113.817495,-111.591234,50.466461,1.328065,2294.412762,0.545455,6,0.074074,2,0.925926,25,0.454545,5,0.75,0.545455,0.631579,0.941077,0.657895,0.091946,0.908054,0.342105,0.665132,0.657895,0.649217,0.88805,0.004,0,0.01,0,34267,61532,9978,'Number of leaves: 62\nSize of the tree: 123\n',123,62,62
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,24,14,0,63.157895,36.842105,0,0.52287,0.165501,0.356673,53.443137,90.500635,84.597932,9684.525011,-9599.927079,2.226261,254.855921,-252.62966,46.557595,1.2252,2116.699639,0.727273,8,0.111111,3,0.888889,24,0.272727,3,0.727273,0.727273,0.727273,0.781145,0.631579,0.111804,0.888196,0.368421,0.607815,0.631579,0.608864,0.776231,0.003,0,0,0,35710,61532,9978,'Number of leaves: 65\nSize of the tree: 129\n',129,65,65
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,336,38,25,13,0,65.789474,34.210526,0,0.554554,0.153395,0.339017,49.533709,86.020608,84.597932,6469.968513,-6385.37058,2.226261,170.262329,-168.036068,47.362205,1.246374,2153.280511,0.727273,8,0.185185,5,0.814815,22,0.272727,3,0.615385,0.727273,0.666667,0.843434,0.657895,0.105133,0.894867,0.342105,0.621997,0.657895,0.630509,0.812045,0.003,0,0,0,31862,61532,9978,'Number of leaves: 57\nSize of the tree: 113\n',113,57,57
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,22,15,0,59.459459,40.540541,0,0.47042,0.166927,0.351596,54.144647,89.660439,80.760991,7541.440315,-7460.679324,2.182729,203.822711,-201.639982,43.306239,1.170439,1964.623016,0.7,7,0.259259,7,0.740741,20,0.3,3,0.5,0.7,0.583333,0.824074,0.594595,0.125465,0.874535,0.405405,0.617117,0.594595,0.596525,0.817455,0.003,0,0.01,0,32343,61705,9805,'Number of leaves: 58\nSize of the tree: 115\n',115,58,58
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,20,17,0,54.054054,45.945946,0,0.407721,0.187752,0.4008,60.89943,102.207995,80.760991,12902.002615,-12821.241624,2.182729,348.702773,-346.520044,38.449462,1.039175,1744.291336,0.7,7,0.111111,3,0.888889,24,0.3,3,0.7,0.7,0.7,0.803704,0.540541,0.132878,0.867122,0.459459,0.572833,0.540541,0.548808,0.734982,0.003,0,0,0,33786,61705,9805,'Number of leaves: 61\nSize of the tree: 121\n',121,61,61
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,25,12,0,67.567568,32.432432,0,0.570184,0.155732,0.354986,50.513457,90.524859,80.760991,8610.829205,-8530.068214,2.182729,232.725114,-230.542384,44.579343,1.204847,2022.378412,0.8,8,0.148148,4,0.851852,23,0.2,2,0.666667,0.8,0.727273,0.762963,0.675676,0.110158,0.889842,0.324324,0.696268,0.675676,0.659831,0.791995,0.003,0,0.01,0,36672,61705,9805,'Number of leaves: 67\nSize of the tree: 133\n',133,67,67
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,21,16,0,56.756757,43.243243,0,0.433493,0.183155,0.373377,59.408403,95.214943,80.760991,8614.992559,-8534.231568,2.182729,232.837637,-230.654907,40.38253,1.09142,1831.986573,0.6,6,0.148148,4,0.851852,23,0.4,4,0.6,0.6,0.6,0.712963,0.567568,0.14509,0.85491,0.432432,0.575191,0.567568,0.566315,0.761896,0.003,0.001,0,0,33786,61705,9805,'Number of leaves: 61\nSize of the tree: 121\n',121,61,61
pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18,3,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220428.1021,337,37,25,12,0,67.567568,32.432432,0,0.576336,0.142847,0.327317,46.334014,83.468983,80.760991,8604.119796,-8523.358805,2.182729,232.543778,-230.361049,49.446062,1.33638,2243.161126,0.7,7,0.074074,2,0.925926,25,0.3,3,0.777778,0.7,0.736842,0.868519,0.675676,0.102496,0.897504,0.324324,0.678078,0.675676,0.671541,0.813224,0.002,0,0,0,31862,61705,9805,'Number of leaves: 57\nSize of the tree: 113\n',113,57,57
