@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
1, 8, 4, 1, 11, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 3, -1, West
1, 7, 4, 2, 11, 3, 1, 5, 1, 16, 4, True, False, False, True, 1, 4, -1, South
2, 7, 4, 2, 12, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 5, -1, East
2, 8, 4, 2, 11, 3, 1, 5, 1, 16, 4, True, False, False, True, 0, 3, -1, North
2, 7, 4, 2, 11, 3, 1, 5, 1, 16, 4, True, False, False, True, 0, 4, -1, South
2, 8, 4, 2, 12, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 4, -1, North
3, 8, 4, 3, 12, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 4, -1, East
3, 7, 4, 3, 13, 3, 1, 5, 1, 17, 3, True, False, False, True, 0, 6, -1, South
3, 8, 4, 4, 13, 3, 1, 5, 1, 17, 3, True, False, False, True, 1, 5, -1, North
3, 7, 4, 4, 13, 3, 1, 5, 1, 17, 4, True, False, False, True, 1, 6, -1, South
4, 7, 4, 4, 13, 3, 1, 5, 1, 16, 4, True, False, False, True, 0, 6, -1, East
3, 7, 4, 5, 13, 3, 1, 5, 1, 16, 4, True, False, False, True, 2, 6, -1, West
4, 7, 4, 5, 13, 3, 1, 5, 1, 15, 4, True, False, False, True, 1, 6, -1, East
5, 7, 4, 5, 13, 3, 1, 5, 1, 14, 4, True, False, False, True, 0, 6, -1, East
5, 8, 4, 4, 13, 3, 1, 5, 1, 15, 4, True, False, False, True, -1, 5, -1, North
5, 9, 4, 4, 13, 3, 1, 5, 1, 16, 4, True, False, False, True, -1, 4, -1, North
5, 10, 4, 5, 13, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 3, -1, North
5, 11, 4, 5, 13, 3, 1, 5, 1, 18, 4, True, False, False, True, 0, 2, -1, North
5, 12, 4, 5, 13, 3, 1, 5, 1, 17, 4, True, False, False, True, 0, 1, -1, North
5, 13, 4, 1, 1, 3, 1, 5, 1, 18, 4, False, False, False, True, 13, -9, 199, North
6, 13, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 12, -10, -1, East
7, 13, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 11, -10, -1, East
7, 12, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 11, -9, -1, South
7, 11, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 11, -8, -1, South
7, 10, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 11, -7, -1, South
7, 9, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 11, -6, -1, South
8, 9, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 10, -6, -1, East
9, 9, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 9, -6, -1, East
10, 9, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 8, -6, -1, East
11, 9, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 7, -6, -1, East
12, 9, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, 5, -6, -1, East
13, 9, 4, 1, 1, 3, 1, 5, 1, 17, 4, False, False, False, True, 4, -5, -1, East
14, 9, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, 3, -6, -1, East
14, 8, 4, 1, 1, 3, 1, 5, 1, 17, 4, False, False, False, True, 3, -4, -1, South
15, 8, 4, 1, 1, 3, 1, 5, 1, 16, 4, False, False, False, True, 1, -4, -1, East
16, 8, 4, 1, 1, 3, 1, 5, 1, 16, 4, False, False, False, True, 0, -4, -1, East
16, 7, 4, 1, 1, 3, 1, 5, 1, 17, 4, False, False, False, True, 1, -3, -1, South
17, 7, 4, 1, 1, 3, 1, 5, 1, 18, 4, False, False, False, True, 1, -3, -1, East
18, 7, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 0, -4, -1, East
18, 6, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, -1, -3, -1, South
17, 6, 4, 1, 1, 3, 1, 5, 1, 16, 3, False, False, False, True, -1, -3, -1, West
16, 6, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, 1, -3, -1, West
17, 6, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, 0, -3, -1, East
17, 7, 4, 1, 1, 3, 1, 5, 1, 18, 3, False, False, False, True, 1, -4, -1, North
18, 7, 4, 1, 1, 3, 1, 5, 1, 18, 4, False, False, False, True, 0, -3, -1, East
18, 6, 4, 1, 1, 3, 1, 5, 1, 18, 4, False, False, False, True, 0, -2, -1, South
17, 6, 4, 1, 1, 3, 1, 5, 1, 17, 4, False, False, False, True, 0, -2, -1, West
17, 7, 4, 1, 1, 3, 1, 5, 1, 17, 3, False, False, False, True, 0, -4, -1, North
17, 6, 4, 1, 1, 3, 1, 5, 1, 16, 3, False, False, False, True, -1, -3, -1, South
16, 6, 4, 1, 1, 3, 1, 5, 1, 16, 4, False, False, False, True, 0, -2, -1, West
16, 7, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, -1, -3, -1, North
15, 7, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 0, -4, -1, West
15, 6, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 0, -3, -1, South
16, 6, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, -1, -3, -1, East
15, 6, 4, 1, 1, 3, 1, 5, 1, 15, 3, False, False, False, True, 0, -3, -1, West
14, 6, 4, 1, 1, 3, 1, 5, 1, 15, 4, False, False, False, True, 1, -2, -1, West
15, 6, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, -1, -2, -1, East
14, 6, 4, 1, 1, 3, 1, 5, 1, 14, 5, False, False, False, True, 0, -1, -1, West
14, 5, 4, 1, 1, 3, 1, 5, 1, 14, 4, False, False, False, True, 0, -1, -1, South
12, 9, 4, 4, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 1, 2, 0, Stop
13, 9, 4, 5, 12, 5, 5, 13, 11, 17, 4, True, True, True, True, 0, 2, -1, East
13, 10, 4, 4, 12, 5, 6, 13, 12, 16, 4, True, True, True, True, 0, 2, -1, North
13, 11, 4, 3, 12, 6, 6, 14, 12, 15, 4, True, True, True, True, 1, 1, -1, North
14, 11, 4, 3, 12, 7, 6, 14, 12, 15, 4, True, True, True, True, 0, 1, -1, East
14, 12, 4, 2, 12, 7, 5, 5, 1, 15, 4, True, True, False, True, 1, -8, 199, North
15, 12, 4, 3, 12, 7, 5, 5, 1, 14, 4, True, True, False, True, -1, -8, -1, East
14, 12, 4, 3, 13, 7, 6, 5, 1, 14, 5, True, True, False, True, 0, -7, -1, West
14, 11, 4, 4, 13, 7, 7, 5, 1, 14, 4, True, True, False, True, 0, -7, -1, South
14, 10, 4, 5, 13, 6, 7, 5, 1, 14, 4, True, True, False, True, 0, -6, -1, South
14, 9, 4, 6, 13, 5, 7, 5, 1, 14, 4, True, True, False, True, 0, -5, -1, South
14, 8, 4, 6, 12, 6, 7, 5, 1, 15, 4, True, True, False, True, 1, -4, -1, South
15, 8, 4, 6, 13, 6, 8, 5, 1, 14, 4, True, True, False, True, -1, -4, -1, East
14, 8, 4, 5, 13, 7, 8, 5, 1, 14, 4, True, True, False, True, 0, -4, -1, West
14, 7, 4, 6, 13, 7, 8, 5, 1, 14, 4, True, True, False, True, 0, -3, -1, South
