@relation pacman.pract1-weka.filters.unsupervised.attribute.Remove-R18

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute direccion_pacman {West,Stop,East,North,South}

@data
15,13,4,6,8,7,12,10,7,7,1,True,True,True,False,-8,-1,North
15,14,4,6,9,8,12,10,7,7,1,True,True,True,False,-7,-2,North
15,14,4,6,10,7,12,10,7,7,1,True,True,True,False,-8,-2,North
14,14,4,6,11,8,12,9,7,7,1,True,True,True,False,-6,-2,West
13,14,4,6,10,8,11,9,7,7,1,True,True,True,False,-5,-3,West
12,14,4,6,11,8,11,9,8,7,1,True,True,True,False,-4,-3,West
11,14,4,5,11,7,11,9,9,7,1,True,True,True,False,-4,-3,West
10,14,4,6,11,7,12,8,9,7,1,True,True,True,False,-3,-2,West
9,14,4,6,11,7,13,7,9,7,1,True,True,True,False,-2,-1,West
8,14,4,6,10,7,13,7,9,7,1,True,True,True,False,-1,-1,West
7,14,4,7,10,7,12,7,8,7,1,True,True,True,False,0,-2,West
7,13,4,6,10,8,12,7,9,7,1,True,True,True,False,1,-1,South
7,12,4,7,10,8,13,7,9,7,1,True,True,True,False,0,-2,South
7,11,4,6,10,8,12,6,9,7,1,True,True,True,False,-1,-1,South
7,10,4,6,10,9,12,5,9,7,1,True,True,True,False,-1,0,South
7,9,4,6,10,9,12,4,9,7,1,True,True,True,False,-1,1,South
7,8,4,6,9,9,12,4,9,7,1,True,True,True,False,-1,1,South
6,8,4,5,9,9,11,3,9,7,1,True,True,True,False,-1,1,West
6,9,4,5,8,8,11,4,9,7,1,True,True,True,False,-1,-1,North
6,10,4,5,8,8,12,4,9,7,1,True,True,True,False,-1,-2,North
6,11,4,6,8,7,12,4,9,7,1,True,True,True,False,1,1,North
6,12,4,6,9,8,12,5,9,7,1,True,True,True,False,2,0,North
7,12,4,5,9,8,11,5,9,7,1,True,True,True,False,1,-1,East
8,12,4,6,9,8,11,5,8,7,1,True,True,True,False,0,-1,East
9,12,4,6,10,8,11,5,7,7,1,True,True,True,False,-1,-1,East
9,11,4,6,11,8,11,6,7,7,1,True,True,True,False,-1,0,South
9,10,4,6,10,9,11,6,7,7,1,True,True,True,False,0,1,South
9,9,4,6,11,8,11,5,7,7,1,True,True,True,False,-1,2,South
8,9,4,6,12,8,11,6,7,7,1,True,True,True,False,0,2,West
8,10,4,6,11,7,11,6,7,7,1,True,True,True,False,-1,1,North
8,11,4,6,12,7,10,7,7,7,1,True,True,True,False,-1,-1,North
8,12,4,6,13,7,10,7,7,7,1,True,True,True,False,-2,1,North
8,13,4,5,13,6,10,8,7,7,1,True,True,True,False,-3,0,North
7,13,4,6,13,6,9,8,6,7,1,True,True,True,False,-1,0,West
6,13,4,1,1,6,9,8,6,7,1,False,True,True,False,0,-4,West
6,14,4,1,1,6,8,8,5,7,1,False,True,True,False,0,-6,North
6,13,4,1,1,5,8,8,5,7,1,False,True,True,False,-1,-5,South
6,12,4,1,1,6,8,8,6,7,1,False,True,True,False,0,-4,South
6,11,4,1,1,6,8,8,5,7,1,False,True,True,False,0,-3,South
6,10,4,1,1,6,8,8,5,7,1,False,True,True,False,0,-2,South
6,9,4,1,1,6,8,8,4,7,1,False,True,True,False,0,-1,South
6,8,4,1,1,3,1,7,4,7,1,False,False,True,False,1,-4,South
6,7,4,1,1,3,1,7,3,7,1,False,False,True,False,1,-4,South
6,6,4,1,1,3,1,7,3,7,1,False,False,True,False,1,-3,South
6,5,4,1,1,3,1,7,3,7,1,False,False,True,False,1,-2,South
7,5,4,1,1,3,1,7,4,7,1,False,False,True,False,0,-1,East
9,1,4,8,7,9,7,10,7,11,7,True,True,True,True,0,6,Stop
9,1,4,8,7,9,7,10,8,11,7,True,True,True,True,0,6,Stop
9,1,4,8,7,10,7,10,7,11,7,True,True,True,True,-1,6,Stop
9,1,4,9,7,9,7,10,8,10,7,True,True,True,True,0,6,Stop
